checkout_id,customer_id,vehicle_id,checkout_date,brand,model,location,checkout_stage,checkout_status,channel
CHK-00001,CUS-00001,VEH-04963,2026-01-21,Hyundai,Creta,Hyderabad,Completed,Completed,Website
CHK-00002,CUS-00002,VEH-00040,2025-08-10,Tata,Nexon,Mumbai,Completed,Completed,Walk-in
CHK-00003,CUS-00003,VEH-02535,2026-06-12,Maruti Suzuki,Baleno,Bengaluru,Completed,Completed,Walk-in
CHK-00004,CUS-00004,VEH-01392,2026-10-30,Hyundai,Creta,Bengaluru,Completed,Completed,Walk-in
CHK-00005,CUS-00005,VEH-01500,2025-11-23,Kia,Seltos,Pune,Completed,Completed,Mobile App
CHK-00006,CUS-00006,VEH-03174,2025-02-22,Maruti Suzuki,Ertiga,Gurgaon,Completed,Completed,Website
CHK-00007,CUS-00007,VEH-04203,2025-08-25,Maruti Suzuki,Baleno,Chennai,Completed,Completed,Mobile App
CHK-00008,CUS-00008,VEH-04614,2026-09-24,Maruti Suzuki,Ertiga,Mumbai,Completed,Completed,Walk-in
CHK-00009,CUS-00009,VEH-00786,2025-07-29,Tata,Punch,Bengaluru,Completed,Completed,Walk-in
CHK-00010,CUS-00010,VEH-00030,2025-03-05,Mahindra,Scorpio-N,Delhi,Completed,Completed,Mobile App
CHK-00011,CUS-00011,VEH-02804,2026-02-26,Tata,Nexon,Mumbai,Completed,Completed,Mobile App
CHK-00012,CUS-00012,VEH-01828,2026-12-16,Tata,Tiago,Pune,Completed,Completed,Walk-in
CHK-00013,CUS-00013,VEH-02074,2025-03-21,Tata,Tiago,Gurgaon,Completed,Completed,Walk-in
CHK-00014,CUS-00014,VEH-00793,2026-12-12,Tata,Nexon,Mumbai,Completed,Completed,Walk-in
CHK-00015,CUS-00015,VEH-00268,2025-05-27,Hyundai,Venue,Mumbai,Completed,Completed,Mobile App
CHK-00016,CUS-00016,VEH-01790,2026-03-22,Skoda,Kushaq,Gurgaon,Completed,Completed,Mobile App
CHK-00017,CUS-00017,VEH-03151,2025-10-22,Kia,Seltos,Bengaluru,Completed,Completed,Website
CHK-00018,CUS-00018,VEH-04950,2025-01-30,Kia,Seltos,Bengaluru,Completed,Completed,Mobile App
CHK-00019,CUS-00019,VEH-04684,2026-03-29,Mahindra,Scorpio-N,Bengaluru,Completed,Completed,Website
CHK-00020,CUS-00020,VEH-03107,2025-09-21,Hyundai,Creta,Bengaluru,Completed,Completed,Call Center
CHK-00021,CUS-00021,VEH-03340,2025-11-01,Maruti Suzuki,Baleno,Ahmedabad,Completed,Completed,Walk-in
