sale_id,customer_id,vehicle_id,sale_date,brand,model,location,dealer_id,selling_price,trade_in_used
SAL-00001,CUS-00001,VEH-04963,2026-01-24,Hyundai,Creta,Hyderabad,DLR-HYD-01,1513000,true
SAL-00002,CUS-00002,VEH-00040,2025-08-15,Tata,Nexon,Mumbai,DLR-MUM-02,1260000,true
SAL-00003,CUS-00003,VEH-02535,2026-06-14,Maruti Suzuki,Baleno,Bengaluru,DLR-BLR-02,695000,false
SAL-00004,CUS-00004,VEH-01392,2026-11-03,Hyundai,Creta,Bengaluru,DLR-BLR-03,1768000,false
SAL-00005,CUS-00005,VEH-01500,2025-11-25,Kia,Seltos,Pune,DLR-PUN-03,1699000,true
SAL-00006,CUS-00006,VEH-03174,2025-02-26,Maruti Suzuki,Ertiga,Gurgaon,DLR-GGN-02,1019000,false
SAL-00007,CUS-00007,VEH-04203,2025-08-27,Maruti Suzuki,Baleno,Chennai,DLR-CHN-03,882000,false
SAL-00008,CUS-00008,VEH-04614,2026-09-24,Maruti Suzuki,Ertiga,Mumbai,DLR-MUM-03,1097000,false
SAL-00009,CUS-00009,VEH-00786,2025-07-30,Tata,Punch,Bengaluru,DLR-BLR-03,813000,false
SAL-00010,CUS-00010,VEH-00030,2025-03-11,Mahindra,Scorpio-N,Delhi,DLR-DEL-03,2329000,false
SAL-00011,CUS-00011,VEH-02804,2026-02-28,Tata,Nexon,Mumbai,DLR-MUM-01,1593000,false
SAL-00012,CUS-00012,VEH-01828,2026-12-20,Tata,Tiago,Pune,DLR-PUN-01,595000,true
SAL-00013,CUS-00013,VEH-02074,2025-03-24,Tata,Tiago,Gurgaon,DLR-GGN-01,592000,true
SAL-00014,CUS-00014,VEH-00793,2026-12-12,Tata,Nexon,Mumbai,DLR-MUM-03,1454000,false
SAL-00015,CUS-00015,VEH-00268,2025-05-29,Hyundai,Venue,Mumbai,DLR-MUM-03,1097000,false
SAL-00016,CUS-00016,VEH-01790,2026-03-25,Skoda,Kushaq,Gurgaon,DLR-GGN-02,1459000,false
SAL-00017,CUS-00017,VEH-03151,2025-10-25,Kia,Seltos,Bengaluru,DLR-BLR-01,1495000,true
