trade_in_id,customer_id,new_vehicle_id,trade_in_date,trade_in_brand,trade_in_model,trade_in_year,trade_in_mileage,trade_in_value,location
TRD-00001,CUS-02224,VEH-00682,2026-11-05,Hyundai,i20,2015,142824,109000,Hyderabad
TRD-00002,CUS-02977,VEH-02477,2025-11-07,Honda,City,2014,115300,45000,Ahmedabad
TRD-00003,CUS-00174,VEH-00970,2025-12-10,Hyundai,Creta,2016,70472,104000,Delhi
TRD-00004,CUS-02041,VEH-00874,2026-07-20,Kia,Seltos,2017,30818,124000,Pune
TRD-00005,CUS-01519,VEH-00666,2025-03-02,Hyundai,Venue,2016,138501,118000,Gurgaon
TRD-00006,CUS-04851,VEH-04299,2025-12-10,Maruti Suzuki,Dzire,2019,55568,229000,Delhi
TRD-00007,CUS-03679,VEH-04870,2026-07-07,Honda,Amaze,2015,117778,50000,Mumbai
TRD-00008,CUS-03782,VEH-02185,2025-12-23,Renault,Kwid,2016,94085,47000,Mumbai
TRD-00009,CUS-04707,VEH-02448,2025-05-02,Renault,Kwid,2017,102616,67000,Pune
TRD-00010,CUS-03327,VEH-00120,2025-05-26,Hyundai,Venue,2019,139693,152000,Bengaluru
TRD-00011,CUS-02465,VEH-01316,2025-03-26,Honda,City,2022,73743,182000,Hyderabad
TRD-00012,CUS-04220,VEH-01081,2025-09-29,Maruti Suzuki,Swift,2019,89214,99000,Bengaluru
TRD-00013,CUS-00600,VEH-02172,2025-10-29,Hyundai,Creta,2018,93576,250000,Gurgaon
TRD-00014,CUS-03310,VEH-01122,2026-10-01,Maruti Suzuki,Swift,2013,91063,82000,Ahmedabad
TRD-00015,CUS-04724,VEH-01268,2026-06-29,Honda,City,2013,109160,74000,Pune
TRD-00016,CUS-01284,VEH-04842,2025-08-26,Tata,Tiago,2016,127813,85000,Hyderabad
TRD-00017,CUS-01151,VEH-02471,2025-12-02,Ford,EcoSport,2015,66643,125000,Bengaluru
TRD-00018,CUS-02668,VEH-02787,2026-07-22,Renault,Kwid,2021,80628,155000,Hyderabad
TRD-00019,CUS-00752,VEH-04132,2025-05-12,Hyundai,Creta,2017,38478,160000,Mumbai
TRD-00020,CUS-03937,VEH-00572,2025-11-03,Maruti Suzuki,Dzire,2022,123991,232000,Delhi
TRD-00021,CUS-04610,VEH-04762,2025-09-11,Maruti Suzuki,Swift,2021,46084,129000,Mumbai
TRD-00022,CUS-00249,VEH-04414,2026-07-28,Maruti Suzuki,Dzire,2023,33148,413000,Bengaluru
TRD-00023,CUS-03029,VEH-01427,2025-09-03,Kia,Seltos,2018,91008,232000,Chennai
TRD-00024,CUS-03959,VEH-04089,2026-03-27,Maruti Suzuki,Swift,2023,99284,239000,Bengaluru
TRD-00025,CUS-00874,VEH-02588,2026-02-28,Honda,Amaze,2023,121264,121000,Hyderabad
TRD-00026,CUS-02482,VEH-02639,2026-11-14,Tata,Tiago,2021,38075,162000,Chennai
TRD-00027,CUS-00072,VEH-04638,2025-02-18,Hyundai,Creta,2016,76577,146000,Bengaluru
TRD-00028,CUS-01338,VEH-00449,2026-10-10,Maruti Suzuki,Swift,2018,142036,105000,Delhi
TRD-00029,CUS-00887,VEH-02135,2025-12-17,Tata,Nexon,2022,30432,391000,Chennai
TRD-00030,CUS-04903,VEH-02999,2025-10-20,Toyota,Innova,2016,22618,109000,Mumbai
TRD-00031,CUS-02006,VEH-01625,2026-06-12,Ford,EcoSport,2019,85213,88000,Delhi
TRD-00032,CUS-04358,VEH-04277,2026-01-14,Hyundai,Creta,2023,115665,328000,Mumbai
TRD-00033,CUS-01437,VEH-02865,2026-12-20,Hyundai,Venue,2013,117894,57000,Bengaluru
TRD-00034,CUS-01673,VEH-04281,2025-03-12,Toyota,Innova,2013,78338,99000,Ahmedabad
TRD-00035,CUS-03282,VEH-04153,2025-05-04,Hyundai,Creta,2014,120040,57000,Pune
TRD-00036,CUS-00045,VEH-04388,2026-12-17,Maruti Suzuki,Dzire,2014,61165,127000,Mumbai
TRD-00037,CUS-00878,VEH-02144,2026-07-21,Honda,Amaze,2012,126077,91000,Bengaluru
TRD-00038,CUS-02921,VEH-03970,2026-09-06,Tata,Nexon,2013,73655,125000,Pune
