vehicle_id,brand,model,variant,fuel_type,location,dealer_id,stock_date,stock_status,listed_price
VEH-00001,Tata,Tiago,XZ+,Petrol,Pune,DLR-PUN-02,2025-09-09,Sold,617000
VEH-00002,Maruti Suzuki,Baleno,Zeta,Petrol,Pune,DLR-PUN-03,2026-07-14,Sold,742000
VEH-00003,Tata,Punch,Adventure,Petrol,Pune,DLR-PUN-01,2025-08-13,Sold,759000
VEH-00004,Tata,Nexon,Fearless+,Electric,Pune,DLR-PUN-01,2026-10-29,Sold,1849000
VEH-00005,Tata,Nexon,Creative,Petrol,Mumbai,DLR-MUM-03,2025-10-13,Sold,983000
VEH-00006,Mahindra,Scorpio-N,Z8L,Diesel,Mumbai,DLR-MUM-02,2025-12-16,Sold,1974000
VEH-00007,Maruti Suzuki,Brezza,ZXI,Petrol,Gurgaon,DLR-GGN-02,2025-04-16,Sold,1027000
VEH-00008,Hyundai,Venue,S,Petrol,Bengaluru,DLR-BLR-02,2026-09-12,Sold,1075000
VEH-00009,Mahindra,Thar,LX,Diesel,Chennai,DLR-CHN-03,2025-05-09,Sold,1807000
VEH-00010,Maruti Suzuki,Swift,VXI,Petrol,Bengaluru,DLR-BLR-03,2026-09-27,Sold,741000
VEH-00011,Tata,Punch,Adventure,Petrol,Chennai,DLR-CHN-01,2026-11-10,Sold,756000
VEH-00012,Mahindra,Scorpio-N,Z8L,Diesel,Gurgaon,DLR-GGN-01,2025-04-15,Sold,2079000
VEH-00013,Hyundai,Creta,SX,Petrol,Hyderabad,DLR-HYD-02,2025-06-17,Sold,1569000
VEH-00014,Hyundai,Creta,SX(O),Diesel,Hyderabad,DLR-HYD-01,2026-09-17,Sold,1725000
VEH-00015,Tata,Nexon,Creative,Petrol,Mumbai,DLR-MUM-02,2026-01-25,Sold,1118000
VEH-00016,BMW,3 Series,330Li,Petrol,Hyderabad,DLR-HYD-01,2025-11-30,Sold,4914000
VEH-00017,Maruti Suzuki,Ertiga,ZXI+,CNG,Pune,DLR-PUN-02,2026-02-16,Sold,1127000
VEH-00018,Maruti Suzuki,Swift,VXI,Petrol,Gurgaon,DLR-GGN-02,2025-08-07,Sold,776000
VEH-00019,Hyundai,Venue,S,Petrol,Gurgaon,DLR-GGN-02,2025-05-28,Sold,1075000
